variable_name,description,source,origin_dataset,relevant_URLs,output_relation
tran_count_dem_gen_np_without_LTS1_corp,Number of transactions for total_amount_dem_gen_np_without_LTS1_corp.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
total_amount_rep_gen_np_corp,Total corporate contributions to Republican candidate under NP construction (general-only if untreated; general+special if treated).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
tran_count_rep_gen_np_corp,Number of transactions for total_amount_rep_gen_np_corp.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
total_amount_rep_gen_np_without_LTS1_corp,Corporate contributions to Republican candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
tran_count_rep_gen_np_without_LTS1_corp,Number of transactions for total_amount_rep_gen_np_without_LTS1_corp.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
total_amount_gen_np_ind,Total individual contributions to general elections only in untreated district-cycles; to general and special elections in treated district-cycles (NP construction).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
tran_count_gen_np_ind,Number of transactions for total_amount_gen_np_ind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
total_amount_gen_np_without_LTS1_ind,Individual contributions before the special-election date under NP construction (general-only if untreated; general+special if treated).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
tran_count_gen_np_without_LTS1_ind,Number of transactions for total_amount_gen_np_without_LTS1_ind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
total_amount_dem_gen_np_ind,Total individual contributions to Democratic candidate under NP construction.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
tran_count_dem_gen_np_ind,Number of transactions for total_amount_dem_gen_np_ind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
total_amount_dem_gen_np_without_LTS1_ind,Individual contributions to Democratic candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
tran_count_dem_gen_np_without_LTS1_ind,Number of transactions for total_amount_dem_gen_np_without_LTS1_ind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
total_amount_rep_gen_np_ind,Total individual contributions to Republican candidate under NP construction.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
tran_count_rep_gen_np_ind,Number of transactions for total_amount_rep_gen_np_ind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext
total_amount_rep_gen_np_without_LTS1_ind,Individual contributions to Republican candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
tran_count_rep_gen_np_without_LTS1_ind,Number of transactions for total_amount_rep_gen_np_without_LTS1_ind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext
total_amount_gen_np_smallind,Total small-dollar individual contributions (<$200) to general elections only in untreated district-cycles; to general and special elections in treated district-cycles (NP construction).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_gen_np_smallind,Number of transactions for total_amount_gen_np_smallind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
total_amount_gen_np_without_LTS1_smallind,Small-dollar individual contributions (<$200) before the special-election date under NP construction (general-only if untreated; general+special if treated).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_gen_np_without_LTS1_smallind,Number of transactions for total_amount_gen_np_without_LTS1_smallind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
total_amount_dem_gen_np_smallind,Total small-dollar individual contributions (<$200) to Democratic candidate under NP construction.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_dem_gen_np_smallind,Number of transactions for total_amount_dem_gen_np_smallind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
total_amount_dem_gen_np_without_LTS1_smallind,Small-dollar individual contributions (<$200) to Democratic candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_dem_gen_np_without_LTS1_smallind,Number of transactions for total_amount_dem_gen_np_without_LTS1_smallind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
total_amount_rep_gen_np_smallind,Total small-dollar individual contributions (<$200) to Republican candidate under NP construction.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_rep_gen_np_smallind,Number of transactions for total_amount_rep_gen_np_smallind.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4_ext (or OUTPUT_4_2_ext)
total_amount_rep_gen_np_without_LTS1_smallind,Small-dollar individual contributions (<$200) to Republican candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
tran_count_rep_gen_np_without_LTS1_smallind,Number of transactions for total_amount_rep_gen_np_without_LTS1_smallind.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4_ext (or OUTPUT_4_2_ext)
hedging_money_general_np_corp,"The index of extensive-margin hedging is computed as the absolute difference between a corporation’s contributions to Republican and Democratic candidates in a given district and election cycle (contributions filtered before the special election; if district-cycle treated, then for general election and special election contributions; else, general elections only). This captures the extent to which a firm biases its contributions toward one party over the other. The index is constructed taking the average of this difference across corporations in the same district and cycle. ",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
avg_counting_hedging_np_corp,"Average number of candidates funded by corporations in the district/cycle (if district-cycle treated, then for general election and special election contributions; else, general elections only) ",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
hedging_money_general_np_ind,Same as hedging_money_general_np_corp but for individual contributions only.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
avg_counting_hedging_np_ind,"Average number of candidates funded by individuals in the district/cycle (if district-cycle treated, then for general election and special election contributions; else, general elections only) ",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
hedging_money_general_np_smallind,Same as hedging_money_general_np_corp but for small individual contributions only (less than 200 USD).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
avg_counting_hedging_np_smallind,"Average number of candidates funded by small individuals donors (less than 200 USD) in the district/cycle (if district-cycle treated, then for general election and special election contributions; else, general elections only) ",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8_ext
